idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
4299,2036,25,26,6561,1,60,0,0
3230,1182,19,20,4048,0,62,0,0
8048,1439,6,6,157,0,105,0,0
9798,2490,18,19,1541,0,126,1,0
13704,1467,16,17,13798,0,89,0,0
4667,657,28,29,1971,1,104,0,1
6211,912,4,4,6325,1,33,1,1
9008,2797,10,10,9373,1,67,0,0
3851,2849,23,24,3593,1,11,0,0
17892,2104,28,29,1979,0,116,0,0
14203,33,17,18,14253,1,30,1,0
2112,338,0,0,2105,0,29,1,0
6732,1830,5,5,6908,0,56,1,0
11000,1921,10,10,4459,0,50,1,0
3269,1869,29,30,12331,0,127,0,0
2434,56,19,20,7967,0,143,1,0
4404,1357,5,5,7009,1,139,1,0
3159,1809,2,2,3337,0,7,1,0
5648,90,24,25,24,2,40,2,0
7672,1815,29,30,3429,0,107,1,0
2025,2402,16,17,13602,0,83,0,1
15841,1044,23,24,1952,0,9,1,0
5410,2657,6,6,1213,1,7,1,0
9088,1050,7,7,7234,0,101,0,0
13227,897,20,21,13391,0,20,0,0
9182,2524,27,28,4125,0,104,0,1
13164,1220,23,24,16398,0,27,1,0
274,1478,17,18,8546,0,106,1,1
15988,682,27,28,17690,1,121,0,0
2425,1520,1,1,1209,0,113,0,1
10672,656,9,9,10963,2,41,1,1
4124,996,4,4,6608,1,66,1,1
13993,2969,17,18,4161,1,19,1,0
7573,192,21,22,1548,1,112,1,0
2744,1111,14,15,13145,0,178,0,0
7900,2061,6,6,3174,0,7,0,0
4248,934,27,28,5535,1,115,1,0
6015,2632,20,21,6193,0,125,1,0
9354,1604,7,7,7662,0,48,1,0
1972,1681,2,2,1818,0,152,1,0
491,275,9,9,10685,1,105,0,1
13841,2804,17,18,11769,0,80,0,0
14124,2079,17,18,1303,0,6,0,0
435,396,0,0,417,1,10,0,0
2876,2746,21,22,1310,0,82,1,0
6238,2820,25,26,9633,1,139,1,0
2279,2068,13,14,7966,0,127,0,0
2579,1360,9,9,10002,1,8,0,0
5862,1618,4,4,3645,0,42,0,0
15016,32,19,20,12510,1,126,0,0
5141,1831,12,13,12091,1,6,1,0
10307,1015,9,9,10561,1,111,1,0
192,189,0,0,24,2,120,2,2
7274,481,20,21,4049,0,139,1,0
15884,22,22,24,12047,1,158,1,1
2330,753,1,1,2330,1,168,1,1
10557,2689,9,9,4748,0,79,1,0
11620,2128,20,22,24,1,46,2,22
14841,3108,18,19,11892,0,184,1,0
14754,2479,18,19,701,0,43,1,3
8860,643,10,10,9232,0,29,1,0
3394,2208,6,6,4321,0,89,1,0
5964,1153,28,29,6038,0,13,0,0
13081,2550,15,16,13273,1,6,1,0
9539,2148,8,8,748,0,63,0,0
2629,2153,15,16,13286,1,8,1,0
7490,1858,9,9,284,1,21,1,1
9919,362,15,16,11354,0,9,0,1
4322,2180,27,28,5094,1,126,0,1
16593,2295,24,25,16940,0,56,0,0
2901,669,6,6,1862,0,70,0,0
10363,1813,14,15,3980,1,164,1,1
15582,131,20,21,2711,2,136,1,1
9705,2079,14,15,9883,2,73,1,1
13033,514,15,16,13231,0,97,0,0
6326,659,27,28,7554,0,0,0,0
18235,3082,28,29,24,1,12,2,1
337,1024,0,0,1331,0,47,0,0
3627,522,2,2,3630,0,48,0,0
14897,1756,20,21,379,0,76,1,0
1892,372,23,24,184,1,84,0,1
12103,648,13,14,7937,0,11,0,0
2517,705,1,1,2519,0,111,0,0
11599,2850,22,23,15823,0,74,1,0
13174,1383,15,16,10671,2,16,0,1
4894,1687,24,25,6910,1,7,1,1
3948,2041,27,28,13867,0,13,0,0
4456,32,3,3,2198,0,12,0,0
11640,2704,25,26,2337,1,139,1,0
5679,1581,18,19,14746,1,51,0,1
6896,1237,26,27,13104,0,46,0,0
1675,2771,6,6,2243,0,115,0,0
31,31,0,0,31,1,30,1,0
17942,1156,28,29,18041,1,113,0,1
4285,893,18,19,7571,0,62,0,0
1255,425,9,9,7777,0,97,0,0
2041,233,0,0,2028,1,30,0,1
2657,793,18,19,12715,1,18,0,0
5215,2462,28,29,3654,0,133,0,0
10286,2604,13,14,6694,1,136,0,1
4749,1861,28,29,18076,1,143,0,1
6404,250,18,19,2292,0,62,0,0
4605,128,7,7,24,1,114,2,1
6500,400,4,5,6656,1,95,1,1
154,1149,5,5,485,0,157,0,0
6661,1772,7,7,5686,0,6,1,1
1079,315,0,0,1062,0,110,0,0
6766,562,5,5,5112,0,66,1,0
15170,1829,20,21,3445,0,110,0,1
6601,2919,17,18,12342,1,72,0,1
1155,2711,16,17,13551,0,152,1,0
18483,2093,29,30,17473,0,12,1,0
4816,3119,18,19,11921,1,115,0,1
8104,2766,6,6,8416,1,67,1,0
17789,826,27,28,990,0,26,1,0
11928,164,16,17,13643,0,133,1,0
6128,1606,7,7,7310,0,141,0,0
11712,2415,11,13,3493,0,2,0,1
3138,1796,1,1,3154,0,123,1,0
9281,2849,20,21,13466,0,31,0,0
7501,963,19,20,2751,0,160,1,0
15321,707,24,25,8061,1,95,1,0
7025,18,22,23,1630,0,93,1,1
4646,1185,7,7,9519,0,78,0,1
2383,1501,1,1,2379,0,122,0,1
7596,191,11,11,4542,0,33,1,0
3454,1524,2,2,3754,0,115,0,0
4124,2233,17,18,6608,1,13,0,1
4618,2755,6,6,8274,0,17,1,1
7123,100,5,5,84,0,66,0,0
9431,1018,7,7,4070,0,91,1,0
13883,1515,17,18,1952,0,74,0,0
13177,2380,15,16,13356,2,181,1,1
2002,46,21,22,174,0,114,0,0
12502,1891,13,14,12607,0,66,1,0
4999,717,26,27,7919,0,26,1,0
5610,350,25,26,12362,0,51,1,0
11846,2055,23,24,4963,2,16,1,0
10098,267,28,29,10382,0,131,1,0
917,2483,27,28,17888,2,190,0,1
8718,213,9,9,4329,1,153,1,0
9185,2585,9,9,10372,1,69,0,0
1524,1177,0,0,1594,0,104,0,0
2358,462,1,1,2354,0,56,0,1
18317,964,29,30,9771,0,101,0,0
7218,777,14,15,7457,0,49,0,0
4771,1275,3,3,4814,0,20,0,0
3960,2846,25,26,3054,0,40,0,1
4468,482,3,3,4485,0,86,1,0
2022,1800,1,1,3167,0,89,0,0
13890,738,17,18,13948,2,108,1,1
